07-06-2021,Lakshadweep,7694,38,8737
08-06-2021,Lakshadweep,7889,41,8775
09-06-2021,Lakshadweep,7942,42,8874
10-06-2021,Lakshadweep,8173,42,9002
11-06-2021,Lakshadweep,8310,42,9073
12-06-2021,Lakshadweep,8414,43,9122
13-06-2021,Lakshadweep,8517,43,9175
14-06-2021,Lakshadweep,8589,44,9209
15-06-2021,Lakshadweep,8672,44,9236
16-06-2021,Lakshadweep,8768,45,9297
17-06-2021,Lakshadweep,8847,45,9339
18-06-2021,Lakshadweep,8933,45,9377
19-06-2021,Lakshadweep,9000,45,9392
20-06-2021,Lakshadweep,9039,46,9430
21-06-2021,Lakshadweep,9078,46,9443
22-06-2021,Lakshadweep,9106,46,9471
23-06-2021,Lakshadweep,9142,47,9504
24-06-2021,Lakshadweep,9172,47,9559
25-06-2021,Lakshadweep,9232,47,9601
26-06-2021,Lakshadweep,9271,48,9632
27-06-2021,Lakshadweep,9313,48,9659
28-06-2021,Lakshadweep,9337,48,9681
29-06-2021,Lakshadweep,9372,48,9715
30-06-2021,Lakshadweep,9388,48,9742
01-07-2021,Lakshadweep,9411,48,9770
02-07-2021,Lakshadweep,9466,49,9808
03-07-2021,Lakshadweep,9514,49,9843
04-07-2021,Lakshadweep,9557,49,9861
05-07-2021,Lakshadweep,9577,49,9900
06-07-2021,Lakshadweep,9609,49,9936
07-07-2021,Lakshadweep,9643,49,9947
08-07-2021,Lakshadweep,9670,49,9965
09-07-2021,Lakshadweep,9695,49,9980
10-07-2021,Lakshadweep,9729,49,10002
11-07-2021,Lakshadweep,9751,49,10011
12-07-2021,Lakshadweep,9803,49,10013
13-07-2021,Lakshadweep,9851,49,10020
14-07-2021,Lakshadweep,9873,49,10031
15-07-2021,Lakshadweep,9891,49,10036
16-07-2021,Lakshadweep,9905,49,10043
17-07-2021,Lakshadweep,9925,49,10053
18-07-2021,Lakshadweep,9939,49,10061
19-07-2021,Lakshadweep,9947,49,10064
20-07-2021,Lakshadweep,9955,49,10076
21-07-2021,Lakshadweep,9969,49,10092
22-07-2021,Lakshadweep,9973,49,10093
23-07-2021,Lakshadweep,9984,49,10100
24-07-2021,Lakshadweep,9991,49,10110
25-07-2021,Lakshadweep,9997,49,10127
26-07-2021,Lakshadweep,10004,49,10129
27-07-2021,Lakshadweep,10010,49,10141
28-07-2021,Lakshadweep,10018,49,10149
29-07-2021,Lakshadweep,10029,50,10155
30-07-2021,Lakshadweep,10042,50,10162
31-07-2021,Lakshadweep,10051,50,10178
01-08-2021,Lakshadweep,10055,50,10189
02-08-2021,Lakshadweep,10070,50,10195
03-08-2021,Lakshadweep,10078,50,10207
04-08-2021,Lakshadweep,10086,50,10226
05-08-2021,Lakshadweep,10100,50,10231
06-08-2021,Lakshadweep,10109,50,10235
07-08-2021,Lakshadweep,10125,50,10243
08-08-2021,Lakshadweep,10133,50,10247
09-08-2021,Lakshadweep,10145,50,10249
10-08-2021,Lakshadweep,10145,50,10249
11-08-2021,Lakshadweep,10165,51,10263
